generation,best,avg,bestTIR,avgTIR,bestWT,bestRBSAccess,bestRaw,avgRaw
0,1.0,0.0,49662.501320187344,2618107.237337782,2590.8590063729466,0.3333,4.666751,-824999999.8346647
1,1.0,0.4091,58411.759967778176,35107.09409464414,0.7759967914671806,0.3333,4.766501,-487499999.4633951
2,1.0,0.4697,783513.4142480436,30726.280162187195,63554.38953932955,0.1667,5.847617,-437499998.8022895
3,1.0,0.5455,1169182.5502635355,124779.24275307528,14753.689901411297,0.1667,6.060978,-374999998.0450392
4,1.0,0.4394,7354542.078073256,100377837.1855825,87920.26695967438,0.1667,6.860017,-462499997.58620566
5,1.0,0.4697,160516022.6228386,160382381.43543467,852495.2727855585,0.4167,8.202626,-437499997.3645015
6,1.0,0.4848,222055616.83356923,126565633.18748479,1179330.0167354434,0.3636,8.343569,-424999997.47204864
7,1.0,0.5455,9274930488.060568,321444522.51173854,232765.43951910734,0.1818,9.967297,-374999996.83122665
8,1.0,0.5758,9274930488.060568,1647637371.821116,232765.43951910734,0.1818,9.967297,-349999995.8956447
9,1.0,0.6364,12501977101.82004,6379060510.172445,11966614.206486402,0.3636,10.096459,-299999995.52335846
10,1.0,0.6061,87627170904.36359,4395998625.059397,181886.94803304056,0.1818,10.942638,-324999994.48317367
11,1.0,0.6515,89932056958.4124,20446200742.520523,348087.5934549078,0.4167,10.953912,-287499993.9187654
12,1.0,0.6061,849654547390.3616,52501758350.72115,12435.843985959227,0.3636,11.929242,-324999993.5065707
13,1.0,0.6212,849654547390.3616,209803564049.84906,12435.843985959227,0.3636,11.929242,-312499993.01582205
14,1.0,0.5909,5063271263325.618,519479202236.61554,14753.67616694975,0.3636,12.704431,-337499993.0843048
15,1.0,0.6667,77667623743576.14,2806945262439.337,322004.5958718382,0.3636,13.89024,-274999992.1416137
16,1.0,0.6212,77667623743576.14,3512338911640.7397,322004.5958718382,0.3636,13.89024,-312499991.9836782
17,1.0,0.697,77667623743576.14,4601074706491.705,322004.5958718382,0.3636,13.89024,-249999991.4027266
18,1.0,0.697,77667623743576.14,18281388939779.68,322004.5958718382,0.3636,13.89024,-249999990.92854816
19,1.0,0.7576,81983285556132.6,27980502505774.746,1002683.9662435699,0.3636,13.913725,-199999990.3278705
20,1.0,0.7273,110507821812503.17,35391033797300.89,718567.333761823,0.3,14.043393,-224999990.29478723
21,1.0,0.6061,110507821812503.17,38070078607589.71,718567.333761823,0.3,14.043393,-324999991.38460916
22,1.0,0.6515,241847731437093.4,39198746395848.32,1002683.9662435699,0.3636,14.383542,-287499990.94483376
23,1.0,0.697,286923859330714.6,125436301636506.78,1169183.4549184197,0.3636,14.457767,-249999990.50774163
24,1.0,0.5303,286923859330714.6,90582251187026.1,1169183.4549184197,0.3636,14.457767,-387499992.029584
