generation,best,avg,bestTIR,avgTIR,bestWT,bestRBSAccess,bestRaw,avgRaw
0,0.5209,0.0,38929615207.89894,652614924.681189,523934.90000544314,0.75,10.590278,2.707689800000001
1,0.5669,0.2321,193437340752.9606,4536205556.272402,695989.4561210654,0.75,11.28654,6.220482987499997
2,0.5669,0.3174,193437340752.9606,15541486314.750519,695989.4561210654,0.75,11.28654,7.511312937499999
3,0.6042,0.3881,708457573639.2717,59091922871.34216,588866.7178108172,1.0,11.850314,8.580477112499995
4,0.6132,0.4617,971638225130.2535,137613160831.1673,98816.25700738249,0.25,11.987505,9.6938243125
5,0.6738,0.518,8010073886799.8955,437647804890.33124,176079.02256447563,0.5,12.903637,10.546960225
6,0.6973,0.5387,18186450966935.62,1375168740509.8071,2549037.6934343055,0.75,13.259748,10.8600195125
7,0.7677,0.5178,211485003042506.25,5241195806989.857,222426.63693548995,1.0,14.32528,10.543545512499996
8,0.7677,0.5693,211485003042506.25,11801833626204.662,222426.63693548995,1.0,14.32528,11.323441149999999
9,0.7677,0.6117,211485003042506.25,22517795866924.523,222426.63693548995,1.0,14.32528,11.963887099999999
10,0.805,0.6116,774556419248727.6,74077605171842.88,892122.3526635006,0.6,14.889053,11.963362712499999
11,0.8515,0.6453,3924364846948464.5,175543595535037.16,222426.63693548995,1.0,15.593769,12.472487849999998
12,0.9074,0.6711,2.7506205022797044e+16,600833916004920.8,758495.1405609077,0.5,16.439431,12.863790612500003
13,0.9074,0.703,2.7506205022797044e+16,1221568395983742.2,758495.1405609077,0.5,16.439431,13.34562923750001
14,0.9074,0.7097,2.7506205022797044e+16,2051741309490309.5,758495.1405609077,0.5,16.439431,13.447020974999997
15,0.9074,0.7501,2.7506205022797044e+16,3599211869425383.0,758495.1405609077,0.5,16.439431,14.059454912500007
16,0.9074,0.7329,2.7506205022797044e+16,5392941416303790.0,758495.1405609077,0.5,16.439431,13.797987175
17,0.9625,0.7879,1.8744796045427824e+17,1.14533919000118e+16,80805.9849783013,0.5,17.272881,14.630937012499999
18,0.9625,0.7824,1.8744796045427824e+17,1.3608352482668628e+16,80805.9849783013,0.5,17.272881,14.547242825000001
19,0.9625,0.7967,1.8744796045427824e+17,1.9408682271066296e+16,80805.9849783013,0.5,17.272881,14.764072212500002
20,1.0,0.8062,6.924800069747562e+17,3.179362030917679e+16,116225.14918412044,0.3333,17.840407,14.908222312500005
21,1.0,0.7927,6.924800069747562e+17,4.031976670772882e+16,116225.14918412044,0.3333,17.840407,14.703763500000003
22,1.0,0.827,6.924800069747562e+17,7.732725873678192e+16,116225.14918412044,0.3333,17.840407,15.222952487500006
23,1.0,0.8434,6.924800069747562e+17,1.2077977463698155e+17,116225.14918412044,0.3333,17.840407,15.470481225000006
24,1.0,0.8662,6.924800069747562e+17,1.3342232950878131e+17,116225.14918412044,0.3333,17.840407,15.816401912500002
