candidate_id,anti_sd_type,site_rank,mrna_start_0based,mrna_end_0based_exclusive,mrna_start_1based,mrna_end_1based,asd_start_5p_0based,asd_start_5p_1based,asd_end_5p_0based_exclusive,asd_end_5p_1based,overlap,pairing_score,aligned_spacing,d,dG_spacing,dG_mrna_unfolding,dG_duplex_candidate,dG_start,dG_standby,dG_total,tir,is_best_site
seed_0034,orthogonal,1,11,21,12,21,7,8,17,17,10,11.0,3.0,-2.0,1.525,7.1,-2.9,-1.194,0.0,4.531,1.6027587556154244,True
seed_0034,orthogonal,2,7,21,8,21,3,4,17,17,14,9.6,11.0,6.0,3.168,7.1,-2.9,-1.194,0.0,6.174,0.11143416563360072,False
seed_0034,orthogonal,3,17,21,18,21,2,3,6,6,4,6.8,2.0,-3.0,9.6289,7.1,-2.9,-1.194,0.0,12.6349,3.1183759030653037e-06,False
seed_0034,orthogonal,4,14,21,15,21,7,8,14,14,7,5.2,0.0,-5.0,12.1798,7.1,-2.9,-1.194,0.0,15.1858,4.9689596712988826e-08,False
seed_0034,orthogonal,5,2,17,3,17,0,1,15,15,15,5.2,19.0,14.0,12.768,7.1,-2.9,-1.194,0.0,15.774,1.9130951012917132e-08,False
seed_0034,wt,1,14,20,15,20,0,1,6,6,6,4.4,7.0,2.0,0.672,7.1,0.0,-1.194,0.0,6.578,0.057851231061027734,True
seed_0034,wt,2,11,18,12,18,0,1,7,7,7,4.2,10.0,5.0,2.4,7.1,0.0,-1.194,0.0,8.306,0.0035039821086955522,False
seed_0034,wt,3,5,14,6,14,0,1,9,9,9,1.8,16.0,11.0,8.448,7.1,0.0,-1.194,0.0,14.354,1.916171349068098e-07,False
seed_0034,wt,4,17,21,18,21,5,6,9,9,4,0.4,-1.0,-6.0,12.1983,7.1,0.0,-1.194,0.0,18.1043,4.360211747199725e-10,False
seed_0026,orthogonal,1,12,17,13,17,0,1,5,5,5,9.8,10.0,5.0,2.4,4.1,-5.7,-1.194,-1.6,-1.994,63554.288730283115,True
seed_0026,orthogonal,2,9,17,10,17,0,1,8,8,8,6.2,13.0,8.0,4.992,4.1,-5.7,-1.194,-1.6,0.598,947.3681394330762,False
seed_0026,orthogonal,3,4,17,5,17,0,1,13,13,13,10.8,18.0,13.0,11.232,4.1,-5.7,-1.194,-1.6,6.838,0.03793897568290875,False
seed_0026,orthogonal,4,17,22,18,22,8,9,13,13,5,10.8,-3.0,-8.0,12.2,4.1,-5.7,-1.194,-1.6,7.806,0.007887285759082386,False
seed_0026,orthogonal,5,0,17,1,17,0,1,17,17,17,14.2,22.0,17.0,17.952,4.1,-5.7,-1.194,-1.6,13.558,6.972497014454744e-07,False
seed_0026,wt,1,17,22,18,22,0,1,5,5,5,5.6,5.0,0.0,0.0,4.1,-4.0,-1.194,0.0,-1.094,14753.684193581583,True
seed_0026,wt,2,14,19,15,19,0,1,5,5,5,8.8,8.0,3.0,1.152,4.1,-4.0,-1.194,0.0,0.058,2275.4466961183534,False
seed_0026,wt,3,11,19,12,19,0,1,8,8,8,10.4,11.0,6.0,3.168,4.1,-4.0,-1.194,0.0,2.074,86.36891961540377,False
seed_0026,wt,4,7,15,8,15,0,1,8,8,8,9.4,15.0,10.0,7.2,4.1,-4.0,-1.194,0.0,6.106,0.12443401907257037,False
seed_0026,wt,5,3,12,4,12,0,1,9,9,9,4.0,19.0,14.0,12.768,4.1,-4.0,-1.194,0.0,11.674,1.4827764544257876e-05,False
seed_0026,wt,6,0,4,1,4,0,1,4,4,4,4.6,22.0,17.0,17.952,4.1,-4.0,-1.194,0.0,16.858,3.2947578838282882e-09,False
seed_0100,orthogonal,1,12,17,13,17,0,1,5,5,5,9.8,9.0,4.0,1.728,4.2,-10.5,-1.194,0.0,-5.766,28929256.741437845,True
seed_0100,orthogonal,2,9,17,10,17,0,1,8,8,8,12.6,12.0,7.0,4.032,4.2,-10.5,-1.194,0.0,-3.462,688128.653828927,False
seed_0100,orthogonal,3,6,17,7,17,0,1,11,11,11,16.4,15.0,10.0,7.2,4.2,-10.5,-1.194,0.0,-0.294,4028.3448939121477,False
seed_0100,orthogonal,4,3,17,4,17,0,1,14,14,14,22.2,18.0,13.0,11.232,4.2,-10.5,-1.194,0.0,3.738,5.8037445367159,False
seed_0100,orthogonal,5,15,21,16,21,11,12,17,17,6,7.4,-5.0,-10.0,12.2,4.2,-10.5,-1.194,0.0,4.706,1.2065419477312072,False
seed_0100,orthogonal,6,0,17,1,17,0,1,17,17,17,25.0,21.0,16.0,16.128,4.2,-10.5,-1.194,0.0,8.634,0.002057854035446699,False
seed_0100,wt,1,11,20,12,20,0,1,9,9,9,6.0,10.0,5.0,2.4,4.2,-4.2,-1.194,0.0,1.206,353.2250390358815,True
seed_0100,wt,2,8,17,9,17,0,1,9,9,9,4.0,13.0,8.0,4.992,4.2,-4.2,-1.194,0.0,3.798,5.265327560390869,False
seed_0100,wt,3,16,21,17,21,3,4,8,8,5,8.8,2.0,-3.0,9.6289,4.2,-4.2,-1.194,0.0,8.4349,0.0028427524173723967,False
seed_0100,wt,4,3,9,4,9,0,1,6,6,6,4.4,18.0,13.0,11.232,4.2,-4.2,-1.194,0.0,10.038,0.00021085903775037125,False
seed_0100,wt,5,0,8,1,8,0,1,8,8,8,10.4,21.0,16.0,16.128,4.2,-4.2,-1.194,0.0,14.934,7.476502781953001e-08,False
seed_0085,orthogonal,1,12,23,13,23,5,6,16,16,11,11.0,6.0,1.0,0.288,4.2,-4.5,-1.194,0.0,-1.206,17694.104422635224,True
seed_0085,orthogonal,2,15,23,16,23,5,6,13,13,8,4.2,3.0,-2.0,1.525,4.2,-4.5,-1.194,0.0,0.031,2377.3538981653187,False
seed_0085,orthogonal,3,9,17,10,17,0,1,8,8,8,12.6,14.0,9.0,6.048,4.2,-4.5,-1.194,0.0,4.554,1.5440433965780145,False
seed_0085,orthogonal,4,5,17,6,17,0,1,12,12,12,15.2,18.0,13.0,11.232,4.2,-4.5,-1.194,0.0,9.738,0.0003430894211102427,False
seed_0085,orthogonal,5,19,23,20,23,7,8,11,11,4,5.8,-3.0,-8.0,12.2,4.2,-4.5,-1.194,0.0,10.706,7.13262352634812e-05,False
seed_0085,orthogonal,6,0,17,1,17,0,1,17,17,17,16.6,23.0,18.0,19.872,4.2,-4.5,-1.194,0.0,18.378,2.7967503542063056e-10,False
seed_0085,wt,1,18,22,19,22,0,1,4,4,4,1.6,5.0,0.0,0.0,4.2,-1.9,-1.194,0.0,1.106,415.4542450443463,True
seed_0085,wt,2,14,22,15,22,0,1,8,8,8,2.0,9.0,4.0,1.728,4.2,-1.9,-1.194,0.0,2.834,25.163582778062757,False
seed_0085,wt,3,10,17,11,17,0,1,7,7,7,3.2,13.0,8.0,4.992,4.2,-1.9,-1.194,0.0,6.098,0.12605981393508614,False
seed_0085,wt,4,6,12,7,12,0,1,6,6,6,7.6,17.0,12.0,9.792,4.2,-1.9,-1.194,0.0,10.898,5.223189214119926e-05,False
seed_0085,wt,5,3,12,4,12,0,1,9,9,9,7.2,20.0,15.0,14.4,4.2,-1.9,-1.194,0.0,15.506,2.95529263800048e-08,False
seed_0085,wt,6,0,4,1,4,0,1,4,4,4,1.6,23.0,18.0,19.872,4.2,-1.9,-1.194,0.0,20.978,4.115189724612903e-12,False
seed_0079,orthogonal,1,12,17,13,17,0,1,5,5,5,9.8,8.0,3.0,1.152,12.1,-3.3,-1.194,0.0,8.758,0.0016827893082302634,True
seed_0079,orthogonal,2,9,17,10,17,0,1,8,8,8,12.6,11.0,6.0,3.168,12.1,-3.3,-1.194,0.0,10.774,6.38734780033014e-05,False
seed_0079,orthogonal,3,4,17,5,17,0,1,13,13,13,14.0,16.0,11.0,8.448,12.1,-3.3,-1.194,0.0,16.054,1.2145504842166381e-08,False
seed_0079,orthogonal,4,15,20,16,20,11,12,16,16,5,7.8,-6.0,-11.0,12.2,12.1,-3.3,-1.194,0.0,19.806,2.7562457469474004e-11,False
